,filename,width,height,class,xmin,ymin,xmax,ymax
0,0_ADP AutoPay Payroll Services 9 30 2021 SOC 1.pdf resized.jpg,765,990,Description,41,475,512,595
1,0_ADP AutoPay Payroll Services.pdf resized.jpg,765,990,Description,51,473,485,586
2,0_ADP GETS US.pdf resized.jpg,765,990,Description,25,469,515,607
3,0_ADP MAS eTime 09 30 2021 SOC 1.pdf resized.jpg,765,990,Description,17,453,507,591
4,0_ADP MAS eTime.pdf resized.jpg,765,990,Description,52,450,542,588
5,0_ADP MAS ezLaborManager.pdf resized.jpg,765,990,Description,35,452,525,590
6,0_ADP Payroll Tax Services 09 30 2021 SOC1.pdf resized.jpg,765,990,Description,59,440,549,578
7,0_ADP Payroll Tax Services.pdf resized.jpg,765,990,Description,45,449,535,587
8,0_ADP SOC 1 Report - Auto Payroll Service System.pdf resized.jpg,765,990,Description,37,447,527,585
9,0_ADP SOC 1 Report - Labor Manager Services System.pdf resized.jpg,765,990,Description,33,453,523,591
10,0_ADP TotalPay Services (1).pdf resized.jpg,765,990,Description,16,451,506,589
11,0_ADP TotalPay Services.pdf resized.jpg,765,990,Description,46,449,536,587
12,0_ADP Wage Payments.pdf resized.jpg,765,990,Description,23,452,513,590
13,0_ADP Workforce Now.pdf resized.jpg,765,990,Description,36,457,526,595
14,1 resized.jpg,765,990,Description,54,471,504,580
15,10 resized.jpg,765,990,Description,57,472,503,578
16,100 resized.jpg,765,990,tabel,553,198,698,795
17,100 resized.jpg,765,990,page_no,618,934,666,960
18,100_ADP AutoPay Payroll Services 9 30 2021 SOC 1.pdf resized.jpg,765,990,tabel,557,241,697,395
19,100_ADP AutoPay Payroll Services 9 30 2021 SOC 1.pdf resized.jpg,765,990,page_no,629,907,666,952
20,100_ADP Payroll Tax Services 09 30 2021 SOC1.pdf resized.jpg,765,990,tabel,563,212,698,860
21,100_ADP Payroll Tax Services 09 30 2021 SOC1.pdf resized.jpg,765,990,page_no,631,912,665,941
22,100_ADP Payroll Tax Services.pdf resized.jpg,765,990,tabel,565,212,697,856
23,100_ADP Payroll Tax Services.pdf resized.jpg,765,990,page_no,631,912,658,936
24,100_ADP SOC 1 Report - Auto Payroll Service System.pdf resized.jpg,765,990,table,557,204,701,869
25,100_ADP SOC 1 Report - Auto Payroll Service System.pdf resized.jpg,765,990,page_no,631,933,661,961
26,101 resized.jpg,765,990,tabel,566,242,695,450
27,101 resized.jpg,765,990,page_no,627,915,662,940
28,102 resized.jpg,765,990,tabel,565,247,695,459
29,102 resized.jpg,765,990,page_no,630,922,662,947
30,102_ADP Payroll Tax Services 09 30 2021 SOC1.pdf resized.jpg,765,990,page_no,629,910,661,953
31,102_ADP Payroll Tax Services 09 30 2021 SOC1.pdf resized.jpg,765,990,tabel,565,212,697,460
32,102_ADP Payroll Tax Services.pdf resized.jpg,765,990,table,565,213,698,346
